"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1110",2600,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1110",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",1590,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","3400",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1140",3000,1,2024
