"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",17700,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",198000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",69993,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1060",25000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",10620,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1010",50000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1170",358050,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1170",85832,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",11078,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1070",280000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1190",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1090",45578,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1080",83000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1220",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderungen im Musikausbildungsbereich ","1140",55660,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1090",485080,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1160",35250,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",2319300,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1070",396030,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1040",45000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1030",50000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1082",10000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1020",20000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1080",49987,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1082",35000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1150",20000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Partizipative Kinder- und Jugendmillion","1010",9999,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Wiener Sprachgutscheine","#",85050,781,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1070",16200,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1150",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1040",4e+05,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1120",4975,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1200",80422,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1030",3994,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1060",2070,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1100",4800,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1030",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1100",4160,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1160",4983,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1060",2400,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1020",35887,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1220",4800,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1020",50045,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1070",228214,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1030",105532,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1150",4220,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1020",4400,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1050",128865,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1040",41500,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1040",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1100",1200,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1060",122849,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1062",73170,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1090",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1180",3600,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1160",145945,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1160",193000,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1040",2161800,1,2023
"Bildung, Jugend, Integration und Transparenz","Integration und Diversität","Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen","1010",717650,1,2023
